City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tiksi,RU,71.6872,128.8694,-10.59,90,27,9.31,scattered clouds
80,Ivanjica,RS,43.5803,20.2311,25.18,95,73,4.74,broken clouds
81,Souillac,MU,-20.5167,57.5167,82.36,94,75,9.22,light rain
82,Altay,CN,47.8667,88.1167,16.02,71,100,0.65,overcast clouds
83,Borgo San Dalmazzo,IT,44.333,7.4858,38.89,100,80,1.52,broken clouds
84,Bengkulu,ID,-3.8004,102.2655,84.92,63,78,5.06,broken clouds
85,Yellowknife,CA,62.456,-114.3525,-22.45,87,20,2.3,few clouds
86,Ribeira Grande,PT,38.5167,-28.7,57.88,68,90,2.91,overcast clouds
87,Butaritari,KI,3.0707,172.7902,81.3,77,62,12.66,light rain
88,Padang,ID,-0.9492,100.3543,87.85,57,39,3.67,light rain
89,Bethel,US,41.3712,-73.414,25.56,64,59,5.99,broken clouds
90,Hithadhoo,MV,-0.6,73.0833,82.35,72,73,13.18,broken clouds
91,Castro,BR,-24.7911,-50.0119,63.82,91,82,1.5,broken clouds
92,Chokurdakh,RU,70.6333,147.9167,-12.78,99,79,8.68,broken clouds
93,Gachancipa,CO,4.9911,-73.8715,52.95,92,100,1.88,overcast clouds
94,Iqaluit,CA,63.7506,-68.5145,-16.87,63,100,5.75,light snow
95,Norman Wells,CA,65.282,-126.8329,-7.56,71,75,2.3,light snow
96,Saint George,US,37.1041,-113.5841,60.35,24,0,1.01,clear sky
97,Yar-Sale,RU,66.8333,70.8333,-20.34,99,100,7.52,overcast clouds
98,Kavieng,PG,-2.5744,150.7967,83.68,73,92,5.79,light rain
99,Coahuayana,MX,18.7333,-103.6833,73.29,71,88,2.75,overcast clouds
100,Avarua,CK,-21.2078,-159.775,77.05,88,20,8.05,light rain
101,Otkaznoye,RU,44.3264,43.8608,24.84,78,33,6.08,scattered clouds
102,Nuuk,GL,64.1835,-51.7216,4.06,95,100,3.31,light snow
103,Ca Mau,VN,9.1769,105.15,91.09,48,44,15.93,scattered clouds
104,Nanortalik,GL,60.1432,-45.2371,18.79,86,100,28.97,snow
105,Plettenberg Bay,ZA,-34.0527,23.3716,66.92,91,100,13.87,light rain
106,Bambous Virieux,MU,-20.3428,57.7575,82.22,94,75,9.22,light rain
107,Ancud,CL,-41.8697,-73.8203,58.53,95,20,1.83,few clouds
108,Constitucion,CL,-35.3333,-72.4167,58.71,89,72,2.3,broken clouds
109,Nieuw Amsterdam,SR,5.8833,-55.0833,77.16,91,36,6.8,scattered clouds
110,Cap-Aux-Meules,CA,47.3821,-61.8597,15.85,73,75,12.66,broken clouds
111,Necochea,AR,-38.5473,-58.7368,56.03,55,0,8.01,clear sky
112,Katsuura,JP,35.1333,140.3,48.11,64,99,22.39,moderate rain
113,Caravelas,BR,-17.7125,-39.2481,74.3,94,81,4.03,broken clouds
114,Paris,FR,48.8534,2.3488,54.37,81,100,20.71,overcast clouds
115,Griffith,US,41.5284,-87.4237,15.4,67,0,8.05,clear sky
116,Orebro,SE,59.2741,15.2066,35.78,60,40,5.75,light rain and snow
117,Praya,CV,14.9215,-23.5087,72.14,78,40,19.57,scattered clouds
118,Hermanus,ZA,-34.4187,19.2345,66.9,77,85,18.95,overcast clouds
