City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mataura,NZ,2022-02-11 19:12:45,-46.1927,168.8643,53.47,92,95,3.89
68,Cape Town,ZA,2022-02-11 19:08:05,-33.9258,18.4232,71.11,77,0,4.0
69,Ushuaia,AR,2022-02-11 19:12:46,-54.8,-68.3,55.06,67,40,20.71
70,Mahebourg,MU,2022-02-11 19:12:46,-20.4081,57.7,76.24,78,14,2.08
71,Codajas,BR,2022-02-11 19:12:48,-3.8367,-62.0569,80.51,91,100,3.98
72,Union De San Antonio,MX,2022-02-11 19:12:48,21.1,-101.9667,66.11,19,0,11.59
73,Provideniya,RU,2022-02-11 19:12:03,64.3833,-173.3,-16.6,92,8,9.06
74,Leningradskiy,RU,2022-02-11 19:12:49,69.3833,178.4167,-18.56,97,99,4.88
75,Fortuna,US,2022-02-11 19:12:50,40.5982,-124.1573,67.93,59,0,1.01
76,Airai,TL,2022-02-11 19:12:50,-8.9266,125.4092,60.67,94,100,0.98
77,Merauke,ID,2022-02-11 19:12:51,-8.4667,140.3333,75.83,87,14,2.93
78,Ust-Kuyga,RU,2022-02-11 19:12:52,70.0167,135.6,-18.72,100,97,7.45
79,Hof,DE,2022-02-11 19:12:52,50.3167,11.9167,36.45,89,100,13.0
80,Tiksi,RU,2022-02-11 19:12:53,71.6872,128.8694,-13.11,94,98,14.76
81,Maceio,BR,2022-02-11 19:12:21,-9.6658,-35.7353,87.24,62,20,18.41
82,Guozhen,CN,2022-02-11 19:12:53,34.3659,107.359,38.66,72,100,1.3
83,Okha,RU,2022-02-11 19:12:54,53.5739,142.9478,16.81,93,100,5.14
84,Am Timan,TD,2022-02-11 19:12:55,11.0297,20.2827,81.25,12,0,4.52
85,Sterling,US,2022-02-11 19:12:55,39.0062,-77.4286,66.34,29,20,23.0
86,Nautla,MX,2022-02-11 19:12:56,20.2167,-96.7833,73.09,67,24,7.54
87,Ancud,CL,2022-02-11 19:12:02,-41.8697,-73.8203,68.23,53,0,5.75
88,Ust-Nera,RU,2022-02-11 19:12:57,64.5667,143.2,-35.25,99,65,2.48
89,Dharchula,IN,2022-02-11 19:12:57,29.85,80.5333,41.76,30,0,10.4
90,Waupun,US,2022-02-11 19:13:58,43.6333,-88.7296,40.93,98,88,15.3
91,Arraial Do Cabo,BR,2022-02-11 19:13:58,-22.9661,-42.0278,75.06,88,75,6.91
92,Saskylakh,RU,2022-02-11 19:10:43,71.9167,114.0833,2.52,91,95,12.75
93,Dawlatabad,AF,2022-02-11 19:13:59,36.4141,64.9053,50.0,53,100,6.6
94,Obo,CF,2022-02-11 19:14:00,5.3998,26.4869,80.22,23,89,6.2
95,Gambela,ET,2022-02-11 19:14:00,8.25,34.5833,89.17,32,96,1.7
96,Moyale,KE,2022-02-11 19:14:01,3.5167,39.0584,75.92,29,98,13.71
97,Coahuayana,MX,2022-02-11 19:14:02,18.7333,-103.6833,81.88,21,0,6.33
98,Matara,LK,2022-02-11 19:14:02,5.9485,80.5353,75.67,91,100,8.08
99,Makakilo City,US,2022-02-11 19:14:03,21.3469,-158.0858,76.28,70,0,3.44
100,Najran,SA,2022-02-11 19:14:04,17.4924,44.1277,67.75,18,0,3.53
101,Saint-Philippe,RE,2022-02-11 19:13:16,-21.3585,55.7679,76.59,74,13,7.92
102,Alto Longa,BR,2022-02-11 19:14:05,-5.2511,-42.2103,82.63,73,100,5.21
103,Tiarei,PF,2022-02-11 19:14:05,-17.5333,-149.3333,84.22,77,25,17.58
104,Boditi,ET,2022-02-11 19:14:06,6.9667,37.8667,63.9,35,26,6.42
105,Chihuahua,MX,2022-02-11 19:14:06,28.5,-106.0,65.23,12,0,6.33
106,Taybad,IR,2022-02-11 19:14:07,34.74,60.7756,45.86,64,95,13.06
107,Boende,CD,2022-02-11 19:14:08,-0.2167,20.8667,81.77,47,83,2.53
108,Martinsville,US,2022-02-11 19:14:09,36.6915,-79.8725,67.73,22,0,11.5
109,Frederikshavn,DK,2022-02-11 19:13:00,57.4407,10.5366,32.99,63,2,15.93
110,Chapais,CA,2022-02-11 19:14:09,49.7834,-74.8492,8.38,93,100,9.17
111,Manavalakurichi,IN,2022-02-11 19:14:10,8.1333,77.3,82.49,75,100,6.6
112,Minbu,MM,2022-02-11 19:14:10,20.1833,94.8833,68.0,52,2,5.26
113,Nchelenge,ZM,2022-02-11 19:14:11,-9.3451,28.734,68.68,85,99,3.4
114,Lannion,FR,2022-02-11 19:14:11,48.75,-3.4167,43.34,73,0,2.3
115,Bethel,US,2022-02-11 19:14:12,41.3712,-73.414,56.98,42,0,10.36
116,Yantal,RU,2022-02-11 19:14:12,56.8471,105.2542,-23.13,100,41,1.5
117,Businga,CD,2022-02-11 19:14:13,3.3333,20.8833,77.88,29,51,1.23
118,Pangnirtung,CA,2022-02-11 19:11:17,66.1451,-65.7125,2.03,81,100,5.19
119,Tasiilaq,GL,2022-02-11 19:14:14,65.6145,-37.6368,12.36,58,100,5.35
